customer_id,first_order_date,last_order_date,frequency,monetary,avg_order_value,total_discount_amount,coupon_order_count,distinct_shipping_countries,first_order_channel,last_order_channel,total_items,gross_item_revenue,gross_item_profit,distinct_categories,distinct_products,primary_category,primary_category_revenue,primary_category_profit,primary_category_quantity,primary_category_orders,first_touch_channel,first_touch_campaign_id,country,device_type,is_subscribed,category_cycle_label,recency_days,customer_age_days,purchase_span_days,repeat_purchase_flag,discount_usage_rate,profit_margin,monetary_percentile_in_category,monetary_score,recency_score,recency_status,frequency_score,frequency_stage,r_high,f_high,m_high,rfm_code,rfm_segment
cust_000a2b55,2024-06-16 08:32:22,2024-06-16 08:32:22,1,51.0,51.0,0.0,0,1,tiktok,tiktok,1,41.61,14.75,1,1,sports,41.61,14.75,1,1,tiktok,camp_62a5e620,us,mobile,True,medium_replacement_cycle,198,198,0,0,0.0,0.3544820956500841,0.1760797342192691,1,3,cooling,1,one_time_buyer,0,0,0,311,低价值流失用户
cust_00274780,2024-05-01 10:26:18,2024-05-01 10:26:18,1,87.08,87.08,0.0,0,1,direct,direct,1,72.84,36.86000000000001,1,1,fashion,72.84,36.86000000000001,1,1,meta,camp_c0c3b8bd,de,mobile,False,seasonal_cycle,244,244,0,0,0.0,0.5060406370126305,0.46136363636363636,3,2,at_risk,1,one_time_buyer,0,0,0,213,低价值流失用户
cust_002d0843,2024-04-23 12:19:56,2024-04-23 12:19:56,1,88.26,88.26,0.0,0,1,organic,organic,2,88.26,42.580000000000005,1,1,home,88.26,42.580000000000005,2,1,organic,,us,desktop,False,long_replacement_cycle,252,252,0,0,0.0,0.48243825062315887,0.38823529411764707,2,3,cooling,1,one_time_buyer,0,0,0,312,低价值流失用户
cust_004c8d70,2024-09-08 14:42:06,2024-09-08 14:42:06,1,396.02,396.02,5.0,1,1,google,google,5,401.0,185.78,2,2,sports,297.54,140.70000000000002,3,1,google,camp_3ada81c2,uk,mobile,False,medium_replacement_cycle,114,114,0,0,1.0,0.4632917705735661,0.9933554817275747,5,4,healthy,1,one_time_buyer,1,0,1,415,重要发展用户
cust_0058404c,2024-10-11 20:09:56,2024-10-11 20:09:56,1,102.5,102.5,0.0,0,1,organic,organic,1,102.5,67.33,1,1,fashion,102.5,67.33,1,1,organic,,ca,tablet,False,seasonal_cycle,81,81,0,0,0.0,0.6568780487804878,0.6045454545454545,4,4,healthy,1,one_time_buyer,1,0,1,414,重要发展用户
cust_007261bf,2024-12-07 10:11:43,2024-12-07 10:11:43,1,54.75,54.75,0.0,0,1,google,google,1,46.26,31.799999999999997,1,1,beauty,46.26,31.799999999999997,1,1,google,camp_fe9c882c,ca,mobile,False,short_consumption_cycle,24,24,0,0,0.0,0.6874189364461738,0.34306569343065696,2,5,fresh,1,one_time_buyer,1,0,0,512,一般发展用户
cust_00735990,2024-01-24 18:42:20,2024-01-24 18:42:20,1,148.53,148.53,0.0,0,1,direct,direct,2,140.62,98.62,1,1,beauty,140.62,98.62,2,1,tiktok,camp_ff7168f4,us,desktop,False,short_consumption_cycle,342,342,0,0,0.0,0.701322713696487,0.9245742092457421,5,1,dormant,1,one_time_buyer,0,0,1,115,重要唤回用户
cust_008ccc7d,2024-02-29 23:19:33,2024-02-29 23:19:33,1,76.71,76.71,0.0,0,1,organic,organic,1,61.63,37.050000000000004,1,1,beauty,61.63,37.050000000000004,1,1,organic,,de,mobile,True,short_consumption_cycle,306,306,0,0,0.0,0.6011682622099628,0.610705596107056,4,1,dormant,1,one_time_buyer,0,0,1,114,重要唤回用户
cust_009063d5,2024-11-17 11:06:27,2024-11-17 11:06:27,1,46.28,46.28,0.0,0,1,google,google,1,36.05,16.939999999999998,1,1,sports,36.05,16.939999999999998,1,1,google,camp_3dc05f5d,uk,mobile,False,medium_replacement_cycle,44,44,0,0,0.0,0.4699029126213592,0.1461794019933555,1,5,fresh,1,one_time_buyer,1,0,0,511,一般发展用户
cust_00acca40,2024-12-13 09:26:22,2024-12-13 09:26:22,1,206.58,206.58,0.0,0,1,google,google,3,206.57999999999998,80.55000000000001,1,1,home,206.57999999999998,80.55000000000001,3,1,google,camp_90cacd25,uk,mobile,False,long_replacement_cycle,18,18,0,0,0.0,0.38992158001742677,0.8305882352941176,5,5,fresh,1,one_time_buyer,1,0,1,515,重要发展用户
