order_id,customer_id,order_date,payment_status,model,channel,touch_index,touch_count,path_length,weight,order_revenue,attributed_revenue
ord_1611831e,cust_598cf934,2024-01-01 10:42:11,refunded,last_touch,direct,1,1,1,1.0,69.09,69.09
ord_1611831e,cust_598cf934,2024-01-01 10:42:11,refunded,first_touch,tiktok,1,1,1,1.0,69.09,69.09
ord_1611831e,cust_598cf934,2024-01-01 10:42:11,refunded,linear,tiktok,1,1,1,1.0,69.09,69.09
ord_1611831e,cust_598cf934,2024-01-01 10:42:11,refunded,time_decay,tiktok,1,1,1,1.0,69.09,69.09
ord_24b5b044,cust_ab62893f,2024-01-02 15:07:36,paid,last_touch,direct,1,1,1,1.0,83.82,83.82
ord_24b5b044,cust_ab62893f,2024-01-02 15:07:36,paid,first_touch,google,1,1,1,1.0,83.82,83.82
ord_24b5b044,cust_ab62893f,2024-01-02 15:07:36,paid,linear,google,1,1,1,1.0,83.82,83.82
ord_24b5b044,cust_ab62893f,2024-01-02 15:07:36,paid,time_decay,google,1,1,1,1.0,83.82,83.82
ord_6f5ec0d1,cust_6f832463,2024-01-02 01:17:38,paid,last_touch,google,1,1,1,1.0,85.81,85.81
ord_6f5ec0d1,cust_6f832463,2024-01-02 01:17:38,paid,first_touch,google,1,1,1,1.0,85.81,85.81
ord_6f5ec0d1,cust_6f832463,2024-01-02 01:17:38,paid,linear,google,1,1,1,1.0,85.81,85.81
ord_6f5ec0d1,cust_6f832463,2024-01-02 01:17:38,paid,time_decay,google,1,1,1,1.0,85.81,85.81
ord_691e548d,cust_ad4398f8,2024-01-02 22:18:11,paid,last_touch,direct,1,1,1,1.0,169.44,169.44
ord_691e548d,cust_ad4398f8,2024-01-02 22:18:11,paid,first_touch,email,1,1,1,1.0,169.44,169.44
ord_691e548d,cust_ad4398f8,2024-01-02 22:18:11,paid,linear,email,1,1,1,1.0,169.44,169.44
ord_691e548d,cust_ad4398f8,2024-01-02 22:18:11,paid,time_decay,email,1,1,1,1.0,169.44,169.44
ord_20c92420,cust_d727d665,2024-01-02 11:37:27,paid,last_touch,tiktok,1,1,1,1.0,285.82,285.82
ord_20c92420,cust_d727d665,2024-01-02 11:37:27,paid,first_touch,tiktok,1,1,1,1.0,285.82,285.82
ord_20c92420,cust_d727d665,2024-01-02 11:37:27,paid,linear,tiktok,1,1,1,1.0,285.82,285.82
ord_20c92420,cust_d727d665,2024-01-02 11:37:27,paid,time_decay,tiktok,1,1,1,1.0,285.82,285.82
ord_2ea7c4a7,cust_2a7ed6d2,2024-01-03 08:23:34,paid,last_touch,direct,1,1,1,1.0,37.07,37.07
ord_2ea7c4a7,cust_2a7ed6d2,2024-01-03 08:23:34,paid,first_touch,organic,1,1,1,1.0,37.07,37.07
ord_2ea7c4a7,cust_2a7ed6d2,2024-01-03 08:23:34,paid,linear,organic,1,1,1,1.0,37.07,37.07
ord_2ea7c4a7,cust_2a7ed6d2,2024-01-03 08:23:34,paid,time_decay,organic,1,1,1,1.0,37.07,37.07
ord_e2e721d6,cust_df00ae3d,2024-01-03 08:44:59,paid,last_touch,direct,1,1,1,1.0,115.91,115.91
ord_e2e721d6,cust_df00ae3d,2024-01-03 08:44:59,paid,first_touch,google,1,1,1,1.0,115.91,115.91
